class,left_elbow,left_shoulder,left_hip,left_knee,right_elbow,right_shoulder,right_hip,right_knee
1. left_temple_block_correct,-155.13929894462254,88.7558657143096,-157.86883278669114,160.84362947479863,151.170240512028,92.47819356198363,-127.27854132484697,-151.12192296643204
1. left_temple_block_correct,-155.13929894462254,88.7558657143096,-157.86883278669114,160.84362947479863,151.170240512028,92.47819356198363,-127.27854132484697,-151.12192296643204
1. left_temple_block_correct,-129.94515545642108,-84.69224293414796,-164.3513894824166,149.0710958855224,146.55209034855278,88.60419353043773,-140.05191748972757,-149.5484590916428
1. left_temple_block_correct,-129.94515545642108,-84.69224293414796,-164.3513894824166,149.0710958855224,146.55209034855278,88.60419353043773,-140.05191748972757,-149.5484590916428
1. left_temple_block_correct,-102.21056472589896,-48.912881295401434,-167.12263801354456,151.25172822929397,-102.78515801408537,-33.729721815853196,163.0095736656561,-169.92166186927682
1. left_temple_block_correct,-102.21056472589896,-48.912881295401434,-167.12263801354456,151.25172822929397,-102.78515801408537,-33.729721815853196,163.0095736656561,-169.92166186927682
1. left_temple_block_correct,-102.22885498603091,-63.57359569784069,-165.13561507065486,145.26204365241372,79.5371965484247,62.96074218801409,-171.71899746502302,-167.85499694368272
1. left_temple_block_correct,-102.22885498603091,-63.57359569784069,-165.13561507065486,145.26204365241372,79.5371965484247,62.96074218801409,-171.71899746502302,-167.85499694368272
1. left_temple_block_correct,-142.270370500784,-81.81686963350904,-162.9172074930708,152.60934122211,149.27463378187008,-103.11987588820294,153.0814820726812,-166.7052350972318
1. left_temple_block_correct,-142.270370500784,-81.81686963350904,-162.9172074930708,152.60934122211,149.27463378187008,-103.11987588820294,153.0814820726812,-166.7052350972318
1. left_temple_block_correct,-166.64413597443342,-92.31351917601383,-155.92980073051402,-176.78653329404017,156.803889138428,102.32664126940143,-146.18093157544834,161.24826293878974
1. left_temple_block_correct,-166.64413597443342,-92.31351917601383,-155.92980073051402,-176.78653329404017,156.803889138428,102.32664126940143,-146.18093157544834,161.24826293878974
1. left_temple_block_correct,-119.56617452268546,-53.434890732283584,151.89157963566424,151.79373673075497,125.14982980787963,69.51438502865673,155.50902919939665,-152.50239023408076
1. left_temple_block_correct,-119.56617452268546,-53.434890732283584,151.89157963566424,151.79373673075497,125.14982980787963,69.51438502865673,155.50902919939665,-152.50239023408076
1. left_temple_block_correct,-119.55448904462939,-44.41903500534149,153.59296616765502,174.14301819515535,124.59561332720747,60.26424161956544,-148.2581491924597,159.71571678561244
1. left_temple_block_correct,-113.08680067626945,-50.11553119132935,-158.69467328514585,155.61105646745986,146.47125948810768,74.73658227047585,163.36984645090354,-162.1901478519057
1. left_temple_block_correct,-119.55448904462939,-44.41903500534149,153.59296616765502,174.14301819515535,124.59561332720747,60.26424161956544,-148.2581491924597,159.71571678561244
1. left_temple_block_correct,-113.08680067626945,-50.11553119132935,-158.69467328514585,155.61105646745986,146.47125948810768,74.73658227047585,163.36984645090354,-162.1901478519057
1. left_temple_block_correct,-104.3119779470248,-22.147271621809985,166.01341077065408,-149.1244944161933,107.87093987027652,20.2561644265628,172.64493962095642,162.45346374521216
1. left_temple_block_correct,-104.3119779470248,-22.147271621809985,166.01341077065408,-149.1244944161933,107.87093987027652,20.2561644265628,172.64493962095642,162.45346374521216
1. left_temple_block_correct,-98.3117815197338,-16.83728348223244,160.39249689503814,-161.5605981667753,119.24206739998922,52.16344048823754,167.0392316927073,-169.33287815933363
1. left_temple_block_correct,-98.3117815197338,-16.83728348223244,160.39249689503814,-161.5605981667753,119.24206739998922,52.16344048823754,167.0392316927073,-169.33287815933363
1. left_temple_block_correct,-130.06714850608748,-63.291733692727824,-150.24145700171493,155.431386989135,111.20777042481608,83.88919274941127,163.64739862944992,-152.27333707691682
1. left_temple_block_correct,-130.06714850608748,-63.291733692727824,-150.24145700171493,155.431386989135,111.20777042481608,83.88919274941127,163.64739862944992,-152.27333707691682
1. left_temple_block_correct,-106.957518315414,-43.63327265648593,-146.56031403760107,156.07552921150938,149.3919155150992,-85.87707164382729,145.06165406411392,-143.92956173139996
1. left_temple_block_correct,-106.957518315414,-43.63327265648593,-146.56031403760107,156.07552921150938,149.3919155150992,-85.87707164382729,145.06165406411392,-143.92956173139996
1. left_temple_block_correct,-125.51868014424174,-55.525521051879196,-149.9290659827515,175.9427839071814,155.5739084014507,89.10035829211056,-128.25788850602225,153.2653262461555
1. left_temple_block_correct,-125.51868014424174,-55.525521051879196,-149.9290659827515,175.9427839071814,155.5739084014507,89.10035829211056,-128.25788850602225,153.2653262461555
1. left_temple_block_correct,-99.57648100995056,-51.34791422295476,-170.15649550260815,141.86347154429046,136.35181390073436,70.61886066392658,-163.83832108652683,-166.58848706769365
1. left_temple_block_correct,-99.57648100995056,-51.34791422295476,-170.15649550260815,141.86347154429046,136.35181390073436,70.61886066392658,-163.83832108652683,-166.58848706769365
1. left_temple_block_correct,-79.60638230078415,-86.81954000526912,-167.5354793592736,-160.32035100758745,112.37549257566648,57.84229910546644,-175.07822406822854,174.08500211852214
1. left_temple_block_correct,-79.60638230078415,-86.81954000526912,-167.5354793592736,-160.32035100758745,112.37549257566648,57.84229910546644,-175.07822406822854,174.08500211852214
1. left_temple_block_correct,-150.87483504083673,-117.71270199361848,-156.1802296036172,-178.13798433865375,136.25124947539493,104.90173305327832,-149.4691336993203,-172.33042592038584
1. left_temple_block_correct,-150.87483504083673,-117.71270199361848,-156.1802296036172,-178.13798433865375,136.25124947539493,104.90173305327832,-149.4691336993203,-172.33042592038584
1. left_temple_block_correct,-116.91951275945718,-93.53667466042886,155.36821919348364,162.7377946620747,114.8917614288194,-81.6198453146431,-165.12351911690016,-167.45803188792505
1. left_temple_block_correct,-116.91951275945718,-93.53667466042886,155.36821919348364,162.7377946620747,114.8917614288194,-81.6198453146431,-165.12351911690016,-167.45803188792505
1. left_temple_block_correct,118.67181540629407,32.25375537087505,-133.79578516174738,130.34440298130716,145.5323174301955,-24.244455800411473,-130.0117518466191,-124.49144757910679
1. left_temple_block_correct,118.67181540629407,32.25375537087505,-133.79578516174738,130.34440298130716,145.5323174301955,-24.244455800411473,-130.0117518466191,-124.49144757910679
1. left_temple_block_correct,-147.60467641407334,-99.58012733935385,158.44829849409194,170.79298044391476,144.61251564395891,91.80037361645044,-147.49439170560325,-165.4473256376206
1. left_temple_block_correct,-147.60467641407334,-99.58012733935385,158.44829849409194,170.79298044391476,144.61251564395891,91.80037361645044,-147.49439170560325,-165.4473256376206
1. left_temple_block_correct,-111.67626112968635,-52.07977971377516,-166.3242310211062,-153.84515914612606,139.24383903406877,-70.20426487973847,158.30922086228713,-169.15349128207328
