class,left_elbow,left_shoulder,left_hip,left_knee,right_elbow,right_shoulder,right_hip,right_knee
1. left_temple_block_correct,133.23158175317747,78.7540553256352,161.046624649679,159.4443756265468,149.44706810236508,96.59860137074753,134.990178550127,158.37931672605268
1. left_temple_block_correct,145.89110926227406,73.92217347864506,152.28948074587532,148.23709704740583,148.34006365834495,74.73412676784798,129.86844663411887,150.1091189584222
1. left_temple_block_correct,136.2663552739948,82.62050871915342,157.36047756750835,173.01627920925353,143.54931079541103,95.76378951949428,144.5288615444591,166.38056653430357
1. left_temple_block_correct,168.60301835267194,62.47480491257762,156.70793203639627,151.69468850462553,171.58733963378484,99.28626220960423,150.18879969922418,174.3033396181076
1. left_temple_block_correct,154.8215717386696,89.87841044472134,156.2018535079991,163.77875609242287,146.3636475803123,83.54082412030728,139.75007191961217,156.39030626664052
1. left_temple_block_correct,156.9259873467506,84.49490272575491,151.1341218693806,161.11320035012406,147.71108846927024,77.60911638490238,138.65225374266234,156.01233895106643
1. left_temple_block_correct,138.51528227365225,80.98265972768647,164.95761407140944,161.49189623174775,146.31706635150158,91.67562926479589,134.92601372761135,157.9642713196058
1. left_temple_block_correct,139.5746380595942,69.1897953705709,153.25007292674593,137.8669642192407,149.04670996375646,84.4424149529325,130.2987147479033,156.165450297806
1. left_temple_block_correct,159.94804034947316,84.6391329226116,154.89890760830602,164.1599186573811,159.6722942521638,88.45696658716281,140.3899655338238,159.2136333344801
1. left_temple_block_correct,156.33563730264476,98.28197408258777,136.0057832110123,153.19939208049172,156.6899035674583,70.84825639076045,155.0220832966952,151.12471095362062
1. left_temple_block_correct,156.3169482461516,89.19878550272749,156.59640455901922,159.75279751473178,147.04734375323892,78.95792988139799,139.7150895033141,159.65882462462977
1. left_temple_block_correct,154.68386444067576,86.715424424076,157.63392107818586,160.3139124879184,149.86857328746075,88.85888412799983,133.5995466154637,154.41650649444665
1. left_temple_block_correct,151.21680140332288,85.80044942601995,139.0587577289719,152.9698411860419,146.97737230217962,84.64823231593287,150.704588545698,159.4967427324699
1. left_temple_block_correct,136.32054863930352,92.47717836873426,136.2925978212956,154.51204308808957,137.5476868832403,61.84055552797873,148.93797517014505,155.77682102749364
1. left_temple_block_correct,147.48119043969754,90.44943358047365,164.32473227846398,158.10786136732168,146.31060185510563,88.08340001479331,140.24128733310252,165.7028175365619
1. left_temple_block_correct,151.00754750666619,64.93214142088917,167.76774319541042,163.5710867767545,162.7509546483814,100.95054996695158,147.75492071446914,169.95386275521597
1. left_temple_block_correct,155.96877530428196,89.99003373907264,130.3851146837348,151.59901615099844,151.5643645103151,76.84904428142153,154.60903121243763,145.61800909055592
1. left_temple_block_correct,134.27808363287818,57.62250017522562,159.10425508065714,149.18175731110057,148.78758011744543,90.19607016985303,131.71872260129567,154.3935560146647
1. left_temple_block_correct,117.01401586653533,78.0983879528724,166.76352006200128,146.0205388564337,132.27621657665446,82.25048153056294,145.03917171053394,152.7034119021654
1. left_temple_block_correct,131.8203904480563,60.7876220058553,148.29646347886896,157.34109719071648,125.66312717214029,65.52129959118578,164.51086117711677,157.1015453034505
1. left_temple_block_correct,126.23182289045386,81.33896027082906,164.2566150972012,155.07455645965385,145.38136276463263,92.86499558210274,138.336908681148,158.48866070259325
