epoch,train_accuracy,train_loss,val_accuracy,val_loss
1,0.0882352963089943,2.7079155445098877,0.22368420660495758,2.336190700531006
2,0.1666666716337204,2.3849024772644043,0.15789473056793213,2.213993787765503
3,0.18137255311012268,2.277707815170288,0.18421052396297455,2.158123254776001
4,0.1993464082479477,2.2451555728912354,0.18421052396297455,2.123537063598633
5,0.20915032923221588,2.1858527660369873,0.14473684132099152,2.0926125049591064
6,0.21895425021648407,2.1477839946746826,0.1315789520740509,2.0670907497406006
7,0.23039215803146362,2.11257266998291,0.17105263471603394,2.059053421020508
8,0.24346405267715454,2.117098808288574,0.21052631735801697,2.0068159103393555
9,0.25326797366142273,2.0658674240112305,0.25,2.002871036529541
10,0.2401960790157318,2.0938384532928467,0.2631579041481018,1.963001012802124
11,0.2810457646846771,2.026441812515259,0.32894736528396606,1.9489487409591675
12,0.28921568393707275,2.0068297386169434,0.32894736528396606,1.9321917295455933
13,0.3006536066532135,1.9770560264587402,0.2763157784938812,1.9235936403274536
14,0.30882352590560913,1.991005539894104,0.31578946113586426,1.890855073928833
15,0.2908496856689453,1.997240424156189,0.3552631437778473,1.8808262348175049
16,0.28431373834609985,1.9713516235351562,0.31578946113586426,1.8775066137313843
17,0.32189542055130005,1.9361199140548706,0.34210526943206787,1.8828063011169434
18,0.2777777910232544,1.9543439149856567,0.31578946113586426,1.895263433456421
19,0.3186274468898773,1.9299707412719727,0.31578946113586426,1.8912943601608276
20,0.3235294222831726,1.8811331987380981,0.28947368264198303,1.9156867265701294
21,0.33496731519699097,1.8744399547576904,0.31578946113586426,1.8900636434555054
22,0.33006536960601807,1.88264799118042,0.28947368264198303,1.8820680379867554
23,0.3284313678741455,1.8833949565887451,0.30263158679008484,1.8546680212020874
24,0.3513071835041046,1.8475629091262817,0.28947368264198303,1.876092553138733
25,0.35457515716552734,1.8815865516662598,0.28947368264198303,1.8693583011627197
26,0.36437907814979553,1.792986273765564,0.28947368264198303,1.833463191986084
27,0.38235294818878174,1.76960027217865,0.30263158679008484,1.8472450971603394
28,0.3692810535430908,1.8101589679718018,0.28947368264198303,1.8329063653945923
29,0.3692810535430908,1.7916247844696045,0.2631579041481018,1.8588224649429321
30,0.3741829991340637,1.7578175067901611,0.32894736528396606,1.8372163772583008
31,0.3366013169288635,1.8264756202697754,0.30263158679008484,1.8257687091827393
32,0.3415032625198364,1.7493478059768677,0.32894736528396606,1.8901396989822388
33,0.3741829991340637,1.8179398775100708,0.28947368264198303,1.887373924255371
34,0.3513071835041046,1.8173532485961914,0.31578946113586426,1.875532865524292
35,0.3660130798816681,1.7640262842178345,0.30263158679008484,1.853083610534668
