epoch,train_accuracy,train_loss,val_accuracy,val_loss
1,0.10893246531486511,2.694314479827881,0.11764705926179886,2.530336380004883
2,0.13943354785442352,2.5191526412963867,0.1764705926179886,2.4272844791412354
3,0.1568627506494522,2.5035903453826904,0.20261438190937042,2.372842311859131
4,0.15032680332660675,2.3923680782318115,0.2222222238779068,2.3001840114593506
5,0.1917211264371872,2.3708112239837646,0.23529411852359772,2.2434072494506836
6,0.1917211264371872,2.3008275032043457,0.26143792271614075,2.2022600173950195
7,0.16775599122047424,2.2732062339782715,0.26143792271614075,2.1871049404144287
8,0.22875817120075226,2.2428112030029297,0.22875817120075226,2.1778101921081543
9,0.20043572783470154,2.238215446472168,0.20915032923221588,2.166698694229126
10,0.21568627655506134,2.213200569152832,0.24183006584644318,2.168933153152466
11,0.206971675157547,2.1979410648345947,0.23529411852359772,2.163299322128296
12,0.27450981736183167,2.170836925506592,0.22875817120075226,2.1715176105499268
13,0.21786493062973022,2.163623332977295,0.2875817120075226,2.159512996673584
14,0.2679738700389862,2.12992000579834,0.2549019753932953,2.1390864849090576
15,0.23529411852359772,2.1488473415374756,0.26143792271614075,2.1129791736602783
16,0.25925925374031067,2.1046648025512695,0.2810457646846771,2.109386920928955
17,0.27886709570884705,2.0570454597473145,0.3006536066532135,2.0854179859161377
18,0.26579520106315613,2.097339391708374,0.2875817120075226,2.0973832607269287
19,0.3202614486217499,2.023829460144043,0.2810457646846771,2.061190605163574
20,0.3050108850002289,2.023428440093994,0.27450981736183167,2.1011428833007812
21,0.2875817120075226,2.0172207355499268,0.3137255012989044,2.0759432315826416
22,0.3137255012989044,2.0078506469726562,0.29411765933036804,2.097592353820801
23,0.2679738700389862,2.0498383045196533,0.26143792271614075,2.149733543395996
24,0.3028322458267212,2.0271968841552734,0.22875817120075226,2.0955638885498047
25,0.3180827796459198,1.9658713340759277,0.26143792271614075,2.1133925914764404
26,0.29629629850387573,1.9720523357391357,0.2875817120075226,2.0648715496063232
27,0.30718955397605896,1.979933738708496,0.2810457646846771,2.091360569000244
28,0.3507625162601471,1.9655083417892456,0.29411765933036804,2.0657176971435547
29,0.3485838770866394,1.9484771490097046,0.2679738700389862,2.0832505226135254
30,0.29411765933036804,1.9943156242370605,0.3006536066532135,2.052828550338745
